State,Year,MedianPrice
PA,2006,182006.089918838
PA,2007,186243.085509509
PA,2008,183595.127594972
PA,2009,163150.185485271
PA,2010,158340.457309616
PA,2011,152297.068307217
PA,2012,147880.537323003
PA,2013,149003.582402881
PA,2014,151232.293429022
PA,2015,152677.664943798
PA,2016,154455.343873128
PA,2017,158272.771297829
PA,2018,164939.244767131
PA,2019,170480.106018721
PA,2020,175755.950016741
PA,2021,192815.308963445
RI,2000,161956.016447368
RI,2001,180691.179824561
RI,2002,210601.456140351
RI,2003,253554.236842105
RI,2004,296497.793859649
RI,2005,335660.728070175
RI,2006,352847.864035088
RI,2007,337276.641447368
RI,2008,312881.617324561
RI,2009,276326.759868421
RI,2010,272463.764254386
RI,2011,258650.529605263
RI,2012,248726.962121212
RI,2013,257189.457792208
RI,2014,268271.271645022
RI,2015,271735.722943723
RI,2016,284475.062770563
RI,2017,301165.033549784
RI,2018,320042.319264069
RI,2019,329043.50974026
RI,2020,347558.382034632
RI,2021,396704.103896104
SC,2000,129968.21258672
SC,2001,135946.917496444
SC,2002,138578.58050513
SC,2003,137669.96588694
SC,2004,140073.835583558
SC,2005,149128.651579846
SC,2006,161666.980141458
SC,2007,167987.481152396
SC,2008,164880.535828877
SC,2009,150171.80505689
SC,2010,140815.065802113
SC,2011,131217.390854779
SC,2012,128834.674164811
SC,2013,131857.681767956
SC,2014,135120.866594124
SC,2015,139725.304140473
SC,2016,145333.44079516
SC,2017,150362.026411076
SC,2018,157986.997667515
SC,2019,165087.249363868
SC,2020,172364.952078032
SC,2021,188757.217736809
SD,2000,
SD,2001,
SD,2002,
SD,2003,
SD,2004,
SD,2005,
SD,2006,158120.5625
SD,2007,160509.673469388
SD,2008,167611.916442049
SD,2009,154728.453560372
SD,2010,151096.633879781
SD,2011,145506.59375
SD,2012,138661.911714771
SD,2013,144227.353648757
SD,2014,148832.934250765
SD,2015,154945.899333827
SD,2016,158218.85675307
SD,2017,165619.970643348
SD,2018,174266.615954416
SD,2019,183189.437567861
SD,2020,186777.152173913
SD,2021,193916.864688857
TN,2000,91864.8541277818
TN,2001,95560.567555938
TN,2002,97847.7595441595
TN,2003,100210.000845309
TN,2004,104048.909320606
TN,2005,110537.254619261
TN,2006,118617.2860134
TN,2007,124313.874232272
TN,2008,123964.288525963
TN,2009,119614.389529232
TN,2010,117025.422609176
TN,2011,113692.841460055
TN,2012,112821.360928962
TN,2013,115811.90943808
TN,2014,120677.867703219
TN,2015,125773.166257501
TN,2016,133232.066284779
TN,2017,142412.321433438
TN,2018,152248.765250545
TN,2019,160745.398858075
TN,2020,170712.76228618
TN,2021,187434.629735234
TX,2000,143842.562697432
TX,2001,143734.48469123
TX,2002,146129.088295953
TX,2003,149288.148671203
TX,2004,156455.767741114
TX,2005,160672.988911655
TX,2006,167217.192940615
TX,2007,170553.415030083
TX,2008,169549.612526188
TX,2009,143031.690767099
TX,2010,136281.870556673
TX,2011,131488.202537877
TX,2012,129411.033366633
TX,2013,136114.86515855
TX,2014,146172.703214724
TX,2015,156544.834475718
TX,2016,165559.788384351
TX,2017,175322.387535575
TX,2018,183913.327203248
TX,2019,191333.254756075
TX,2020,197438.266332834
TX,2021,216362.045883092
UT,2000,204958.420359281
UT,2001,211910.411255411
UT,2002,213237.698051948
UT,2003,212679.425324675
UT,2004,215917.668831169
UT,2005,215912.243705036
UT,2006,238458.243816254
UT,2007,284871.324829932
UT,2008,288769.02350081
UT,2009,240007.557630736
UT,2010,220090.807996051
UT,2011,205957.349975763
UT,2012,191421.292903693
UT,2013,208102.701042041
UT,2014,219029.773792614
UT,2015,227745.329131653
UT,2016,243068.828929068
UT,2017,261460.277083333
UT,2018,284911.587847222
UT,2019,305934.762847222
UT,2020,324998.013139696
UT,2021,373481.28630491
VA,2000,162436.113993174
VA,2001,178760.086629834
VA,2002,196044.315898713
VA,2003,214651.939718422
VA,2004,246807.219474498
VA,2005,293017.083705357
VA,2006,320617.11993337
VA,2007,310467.112191608
VA,2008,286667.429471474
VA,2009,245803.393407534
VA,2010,231512.983612903
VA,2011,220075.077138338
VA,2012,208178.873773087
VA,2013,213103.491475787
VA,2014,216774.212236114
VA,2015,217994.279325661
VA,2016,219856.798868262
VA,2017,225192.87041228
VA,2018,231893.578062372
VA,2019,239415.504748982
VA,2020,247606.334399225
VA,2021,267038.572778828
VT,2000,128209.573872473
VT,2001,136761.757201646
VT,2002,144271.098540146
VT,2003,150273.572170686
VT,2004,167907.934671533
VT,2005,188421.238355167
VT,2006,205061.395289855
VT,2007,214017.613768116
VT,2008,215368.718299712
VT,2009,210777.19756185
VT,2010,207649.227825465
VT,2011,207735.814352017
VT,2012,207383.903896962
VT,2013,207368.939393939
VT,2014,206513.486824769
VT,2015,207635.524703557
VT,2016,210093.417654809
VT,2017,214281.16798419
VT,2018,222613.157480315
VT,2019,229422.213254593
VT,2020,237981.510987209
VT,2021,257416.12189176
WA,2000,194010.176232821
WA,2001,200458.905357143
WA,2002,205102.257283951
WA,2003,212869.343780369
WA,2004,231100.548590865
WA,2005,264042.236394558
WA,2006,304563.406936416
WA,2007,318972.96828479
WA,2008,300092.745552338
WA,2009,253580.853449695
WA,2010,236417.892097747
WA,2011,218345.847257251
WA,2012,211124.262956734
WA,2013,226444.988229968
WA,2014,240822.986873508
WA,2015,258394.082001184
WA,2016,283538.649787172
WA,2017,313230.847393087
WA,2018,344435.178090217
WA,2019,358316.387752119
WA,2020,383372.491113054
WA,2021,434083.496500437
WI,2000,149950.52750131
WI,2001,155512.175495164
WI,2002,160866.700765203
WI,2003,169619.766218354
WI,2004,183392.644402985
WI,2005,192805.105077574
WI,2006,196393.878118093
WI,2007,194841.123334278
WI,2008,189380.18362024
WI,2009,154183.720803911
WI,2010,146148.464790479
